"id","login","pressed_key","time_hold","time_to_next"
"40111","Kinga","68","136","63"
"40112","Kinga","32","64.0","128"
"40113","Kinga","77","72.0","31"
"40114","Kinga","65","74.0","26"
"40115","Kinga","78","69.0","121"
"40116","Kinga","32","79.0","64"
"40117","Kinga","83","80.0","161"
"40118","Kinga","84","48.0","352"
"40119","Kinga","8","64.0","47"
"40120","Kinga","65","96.0","297"
"40121","Kinga","32","71.0","152"
"40122","Kinga","73","88.0","121"
"40123","Kinga","78","40.0","87"
"40124","Kinga","84","73.0","63"
"40125","Kinga","32","40.0","104"
"40126","Kinga","72","72.0","25"
"40127","Kinga","69","79.0","80"
"40128","Kinga","32","88.0","393"
"40129","Kinga","78","32.0","176"
"40130","Kinga","66","64.0","79"
"40131","Kinga","65","80.0","64"
"40132","Kinga","67","89.0","47"
"40133","Kinga","75","65.0","160"
"40134","Kinga","32","48.0","127"
"40135","Kinga","79","88.0","257"
"40136","Kinga","71","72.0","352"
"40137","Kinga","8","48.0","87"
"40138","Kinga","70","97.0","47"
"40139","Kinga","32","72.0","40"
"40140","Kinga","84","104","21"
"40141","Kinga","72","92.0","28"
"40142","Kinga","69","115","225"
"40143","Kinga","32","143","249"
"40144","Kinga","66","80.0","47"
"40145","Kinga","65","96.0","56"
"40146","Kinga","73","96.0","113"
"40147","Kinga","84","103","96"
"40148","Kinga","32","80.0","152"
"40149","Kinga","83","112","34"
"40150","Kinga","72","38.0","81"
"40151","Kinga","79","96.0","128"
"40152","Kinga","80","80.0","168"
"40153","Kinga","32","103","465"
"40154","Kinga","71","88.0","88"
"40155","Kinga","82","88.0","42"
"40156","Kinga","85","94.0","152"
"40157","Kinga","77","79.0","128"
"40158","Kinga","66","89.0","160"
"40159","Kinga","76","80.0","88"
"40160","Kinga","73","80.0","104"
"40161","Kinga","78","72.0","39"
"40162","Kinga","70","80.0","88"
"40163","Kinga","32","65.0","344"
"40164","Kinga","84","7.00","7"
"40165","Kinga","79","87.0","121"
"40166","Kinga","32","63.0","104"
"40167","Kinga","72","72.0","48"
"40168","Kinga","73","113","87"
"40169","Kinga","77","96.0","104"
"40170","Kinga","83","113","71"
"40171","Kinga","69","129","48"
"40172","Kinga","76","79.0","281"
"40173","Kinga","71","119","153"
"40174","Kinga","32","79.0","80"
"40175","Kinga","65","113","56"
"40176","Kinga","83","95.0","46"
"40177","Kinga","32","42.0","200"
"40178","Kinga","72","32.0","32"
"40179","Kinga","69","113","79"
"40180","Kinga","32","56.0","56"
"40181","Kinga","83","88.0","152"
"40182","Kinga","67","96.0","48"
"40183","Kinga","79","64.0","97"
"40184","Kinga","79","63.0","201"
"40185","Kinga","80","16.0","16"
"40186","Kinga","69","87.0","113"
"40187","Kinga","68","96.0","87"
"40188","Kinga","32","72.0","152"
"40189","Kinga","79","128","105"
"40190","Kinga","85","72.0","192"
"40191","Kinga","84","32.0","400"
"40192","Kinga","32","87.0","208"
"40193","Kinga","65","89.0","71"
"40194","Kinga","32","80.0","328"
"40195","Kinga","78","64.0","38"
"40196","Kinga","65","59.0","184"
"40197","Kinga","70","119","385"
"40198","Kinga","8","71.0","96"
"40199","Kinga","68","64.0","161"
"40200","Kinga","72","63.0","400"
"40201","Kinga","70","73.0","55"
"40202","Kinga","85","80.0","217"
"40203","Kinga","76","55.0","313"
"40204","Kinga","32","96.0","79"
"40205","Kinga","79","96.0","441"
"40206","Kinga","70","88.0","39"
"40207","Kinga","32","48.0","232"
"40208","Kinga","87","48.0","48"
"40209","Kinga","79","104","0"
"40210","Kinga","82","89.0","79"
"40211","Kinga","77","72.0","65"
"40212","Kinga","83","112","55"
"40213","Kinga","190","56.0","137"
"40214","Kinga","32","63.0","168"
"40215","Kinga","16","193","95"
"40216","Kinga","74","8.00","8"
"40217","Kinga","65","69.0","91"
"40218","Kinga","83","105","49"
"40219","Kinga","79","71.0","112"
"40220","Kinga","78","55.0","233"
"40221","Kinga","32","56.0","71"
"40222","Kinga","68","64.0","48"
"40223","Kinga","73","88.0","313"
"40224","Kinga","68","111","96"
"40225","Kinga","78","48.0","96"
"40226","Kinga","83","80.0","64"
"40227","Kinga","32","56.0","184"
"40228","Kinga","85","80.0","144"
"40229","Kinga","78","48.0","40"
"40230","Kinga","68","104","113"
"40231","Kinga","69","127","51"
"40232","Kinga","82","69.0","168"
"40233","Kinga","83","56.0","249"
"40234","Kinga","84","87.0","209"
"40235","Kinga","65","47.0","47"
"40236","Kinga","78","117","31"
"40237","Kinga","68","59.0","72"
"40238","Kinga","32","56.0","272"
"40239","Kinga","87","104","129"
"40240","Kinga","72","7.00","7"
"40241","Kinga","89","119","161"
"40242","Kinga","32","39.0","160"
"40243","Kinga","72","96.0","27"
"40244","Kinga","73","126","42"
"40245","Kinga","83","69.0","72"
"40246","Kinga","32","64.0","144"
"40247","Kinga","80","72.0","31"
"40248","Kinga","65","49.0","577"
"40249","Kinga","69","159","96"
"40250","Kinga","78","72.0","208"
"40251","Kinga","84","88.0","153"
"40252","Kinga","83","103","52"
"40253","Kinga","32","68.0","136"
"40254","Kinga","87","120","32"
"40255","Kinga","79","56.0","105"
"40256","Kinga","85","71.0","144"
"40257","Kinga","76","72.0","72"
"40258","Kinga","68","144","105"
"40259","Kinga","83","95.0","64"
"40260","Kinga","78","73.0","136"
"40261","Kinga","32","55.0","128"
"40262","Kinga","76","64.0","1"
"40263","Kinga","69","87.0","120"
"40264","Kinga","84","144","53"
"40265","Kinga","32","35.0","120"
"40266","Kinga","72","88.0","1"
"40267","Kinga","73","119","121"
"40268","Kinga","77","55.0","96"
"40269","Kinga","32","64.0","64"
"40270","Kinga","83","88.0","128"
"40271","Kinga","69","16.0","16"
"40272","Kinga","76","44.0","100"
"40273","Kinga","76","64.0","96"
"40274","Kinga","32","96.0","192"
"40275","Kinga","73","32.0","305"
"40276","Kinga","72","103","40"
"40277","Kinga","73","113","1"
"40278","Kinga","83","78.0","97"
"40279","Kinga","32","79.0","136"
"40280","Kinga","76","56.0","112"
"40281","Kinga","73","72.0","80"
"40282","Kinga","84","48.0","121"
"40283","Kinga","84","79.0","120"
"40284","Kinga","76","16.0","16"
"40285","Kinga","69","104","145"
"40286","Kinga","32","79.0","280"
"40287","Kinga","83","8.00","8"
"40288","Kinga","73","80.0","80"
"40289","Kinga","83","96.0","113"
"40290","Kinga","84","159","31"
"40291","Kinga","69","65.0","249"
"40292","Kinga","83","87.0","153"
"40293","Kinga","32","55.0","128"
"40294","Kinga","65","88.0","232"
"40295","Kinga","84","112","145"
"40296","Kinga","32","87.0","56"
"40297","Kinga","82","120","40"
"40298","Kinga","72","80.0","48"
"40299","Kinga","69","104","72"
"40300","Kinga","32","56.0","577"
"40301","Kinga","71","31.0","201"
"40302","Kinga","65","111","97"
"40303","Kinga","82","71.0","128"
"40304","Kinga","65","168","88"
"40305","Kinga","72","88.0","45"
"40306","Kinga","69","91.0","80"
